Frequency (Hz),Kinetic Energy (J),Electron Count
0.0,0.0,0.0
2004008016032.0642,0.0,0.0
4008016032064.1284,0.0,0.0
6012024048096.192,0.0,0.0
8016032064128.257,0.0,0.0
10020040080160.32,0.0,0.0
12024048096192.385,0.0,0.0
14028056112224.45,0.0,0.0
16032064128256.514,0.0,0.0
18036072144288.58,0.0,0.0
20040080160320.64,0.0,0.0
22044088176352.707,0.0,0.0
24048096192384.77,0.0,0.0
26052104208416.836,0.0,0.0
28056112224448.9,0.0,0.0
30060120240480.965,0.0,0.0
32064128256513.027,0.0,0.0
34068136272545.09,0.0,0.0
36072144288577.16,0.0,0.0
38076152304609.22,0.0,0.0
40080160320641.28,0.0,0.0
42084168336673.35,0.0,0.0
44088176352705.414,0.0,0.0
46092184368737.48,0.0,0.0
48096192384769.54,0.0,0.0
50100200400801.6,0.0,0.0
52104208416833.67,0.0,0.0
54108216432865.734,0.0,0.0
56112224448897.8,0.0,0.0
58116232464929.86,0.0,0.0
60120240480961.93,0.0,0.0
62124248496993.99,0.0,0.0
64128256513026.055,0.0,0.0
66132264529058.12,0.0,0.0
68136272545090.18,0.0,0.0
70140280561122.25,0.0,0.0
72144288577154.31,0.0,0.0
74148296593186.38,0.0,0.0
76152304609218.44,0.0,0.0
78156312625250.5,0.0,0.0
80160320641282.56,0.0,0.0
82164328657314.62,0.0,0.0
84168336673346.7,0.0,0.0
86172344689378.77,0.0,0.0
88176352705410.83,0.0,0.0
90180360721442.89,0.0,0.0
92184368737474.95,0.0,0.0
94188376753507.02,0.0,0.0
96192384769539.08,0.0,0.0
98196392785571.14,0.0,0.0
100200400801603.2,0.0,0.0
102204408817635.28,0.0,0.0
104208416833667.34,0.0,0.0
106212424849699.4,0.0,0.0
108216432865731.47,0.0,0.0
110220440881763.53,0.0,0.0
112224448897795.6,0.0,0.0
114228456913827.66,0.0,0.0
116232464929859.72,0.0,0.0
118236472945891.78,0.0,0.0
120240480961923.86,0.0,0.0
122244488977955.92,0.0,0.0
124248496993987.98,0.0,0.0
126252505010020.05,0.0,0.0
128256513026052.11,0.0,0.0
130260521042084.17,0.0,0.0
132264529058116.23,0.0,0.0
134268537074148.3,0.0,0.0
136272545090180.36,0.0,0.0
138276553106212.44,0.0,0.0
140280561122244.5,0.0,0.0
142284569138276.56,0.0,0.0
144288577154308.62,0.0,0.0
146292585170340.7,0.0,0.0
148296593186372.75,0.0,0.0
150300601202404.8,0.0,0.0
152304609218436.88,0.0,0.0
154308617234468.94,0.0,0.0
156312625250501.0,0.0,0.0
158316633266533.06,0.0,0.0
160320641282565.12,0.0,0.0
162324649298597.2,0.0,0.0
164328657314629.25,0.0,0.0
166332665330661.34,0.0,0.0
168336673346693.4,0.0,0.0
170340681362725.47,0.0,0.0
172344689378757.53,0.0,0.0
174348697394789.6,0.0,0.0
176352705410821.66,0.0,0.0
178356713426853.72,0.0,0.0
180360721442885.78,0.0,0.0
182364729458917.84,0.0,0.0
184368737474949.9,0.0,0.0
186372745490981.97,0.0,0.0
188376753507014.03,0.0,0.0
190380761523046.1,0.0,0.0
192384769539078.16,0.0,0.0
194388777555110.22,0.0,0.0
196392785571142.28,0.0,0.0
198396793587174.34,0.0,0.0
200400801603206.4,0.0,0.0
202404809619238.5,0.0,0.0
204408817635270.56,0.0,0.0
206412825651302.62,0.0,0.0
208416833667334.7,0.0,0.0
210420841683366.75,0.0,0.0
212424849699398.8,0.0,0.0
214428857715430.88,0.0,0.0
216432865731462.94,0.0,0.0
218436873747495.0,0.0,0.0
220440881763527.06,0.0,0.0
222444889779559.12,0.0,0.0
224448897795591.2,0.0,0.0
226452905811623.25,0.0,0.0
228456913827655.3,0.0,0.0
230460921843687.38,0.0,0.0
232464929859719.44,0.0,0.0
234468937875751.5,0.0,0.0
236472945891783.56,0.0,0.0
238476953907815.66,0.0,0.0
240480961923847.72,0.0,0.0
242484969939879.78,4.54242114228479e-22,10.0
244488977955911.84,1.782111883767558e-21,10.0
246492985971943.9,3.1099816533066128e-21,10.0
248496993987975.97,4.437851422845692e-21,10.0
250501002004008.03,5.7657211923847706e-21,10.0
252505010020040.1,7.09359096192385e-21,10.0
254509018036072.16,8.421460731462928e-21,10.0
256513026052104.22,9.749330501002007e-21,10.0
258517034068136.28,1.1077200270541086e-20,10.0
260521042084168.34,1.2405070040080165e-20,10.0
262525050100200.4,1.3732939809619244e-20,10.0
264529058116232.47,1.5060809579158323e-20,10.0
266533066132264.53,1.6388679348697402e-20,10.0
268537074148296.6,1.771654911823648e-20,10.0
270541082164328.66,1.904441888777556e-20,10.0
272545090180360.72,2.0372288657314615e-20,10.0
274549098196392.78,2.1700158426853694e-20,10.0
276553106212424.88,2.3028028196392797e-20,10.0
278557114228456.94,2.4355897965931875e-20,10.0
280561122244489.0,2.5683767735470954e-20,10.0
282565130260521.06,2.7011637505010033e-20,10.0
284569138276553.1,2.833950727454911e-20,10.0
286573146292585.2,2.966737704408819e-20,10.0
288577154308617.25,3.099524681362727e-20,10.0
290581162324649.3,3.232311658316635e-20,10.0
292585170340681.4,3.365098635270543e-20,10.0
294589178356713.44,3.497885612224448e-20,10.0
296593186372745.5,3.630672589178356e-20,10.0
298597194388777.56,3.763459566132264e-20,10.0
300601202404809.6,3.896246543086172e-20,10.0
302605210420841.7,4.02903352004008e-20,10.0
304609218436873.75,4.161820496993988e-20,10.0
306613226452905.8,4.2946074739478956e-20,10.0
308617234468937.9,4.4273944509018035e-20,10.0
310621242484969.94,4.5601814278557114e-20,10.0
312625250501002.0,4.692968404809619e-20,10.0
314629258517034.06,4.825755381763527e-20,10.0
316633266533066.1,4.958542358717435e-20,10.0
318637274549098.2,5.091329335671343e-20,10.0
320641282565130.25,5.2241163126252485e-20,10.0
322645290581162.3,5.3569032895791563e-20,10.0
324649298597194.4,5.489690266533064e-20,10.0
326653306613226.44,5.622477243486972e-20,10.0
328657314629258.5,5.75526422044088e-20,10.0
330661322645290.6,5.88805119739479e-20,10.0
332665330661322.7,6.020838174348701e-20,10.0
334669338677354.75,6.153625151302606e-20,10.0
336673346693386.8,6.286412128256516e-20,10.0
338677354709418.9,6.419199105210422e-20,10.0
340681362725450.94,6.551986082164332e-20,10.0
342685370741483.0,6.684773059118238e-20,10.0
344689378757515.06,6.817560036072148e-20,10.0
346693386773547.1,6.950347013026053e-20,10.0
348697394789579.2,7.083133989979964e-20,10.0
350701402805611.25,7.215920966933869e-20,10.0
352705410821643.3,7.348707943887775e-20,10.0
354709418837675.4,7.481494920841685e-20,10.0
356713426853707.44,7.61428189779559e-20,10.0
358717434869739.5,7.747068874749501e-20,10.0
360721442885771.56,7.879855851703406e-20,10.0
362725450901803.6,8.012642828657317e-20,10.0
364729458917835.7,8.145429805611222e-20,10.0
366733466933867.75,8.278216782565132e-20,10.0
368737474949899.8,8.411003759519038e-20,10.0
370741482965931.9,8.543790736472948e-20,10.0
372745490981963.94,8.676577713426854e-20,10.0
374749498997996.0,8.809364690380764e-20,10.0
376753507014028.06,8.94215166733467e-20,10.0
378757515030060.1,9.074938644288575e-20,10.0
380761523046092.2,9.207725621242485e-20,10.0
382765531062124.25,9.340512598196391e-20,10.0
384769539078156.3,9.473299575150301e-20,10.0
386773547094188.4,9.606086552104206e-20,10.0
388777555110220.44,9.738873529058117e-20,10.0
390781563126252.5,9.871660506012022e-20,10.0
392785571142284.56,1.0004447482965933e-19,10.0
394789579158316.6,1.0137234459919838e-19,10.0
396793587174348.7,1.0270021436873748e-19,10.0
398797595190380.75,1.0402808413827654e-19,10.0
400801603206412.8,1.0535595390781564e-19,10.0
402805611222444.9,1.066838236773547e-19,10.0
404809619238477.0,1.080116934468938e-19,10.0
406813627254509.06,1.093395632164329e-19,10.0
408817635270541.1,1.1066743298597196e-19,10.0
410821643286573.2,1.1199530275551106e-19,10.0
412825651302605.25,1.1332317252505011e-19,10.0
414829659318637.3,1.1465104229458922e-19,10.0
416833667334669.4,1.1597891206412827e-19,10.0
418837675350701.44,1.1730678183366738e-19,10.0
420841683366733.5,1.1863465160320643e-19,10.0
422845691382765.56,1.1996252137274549e-19,10.0
424849699398797.6,1.212903911422846e-19,10.0
426853707414829.7,1.2261826091182364e-19,10.0
428857715430861.75,1.2394613068136275e-19,10.0
430861723446893.8,1.252740004509018e-19,10.0
432865731462925.9,1.266018702204409e-19,10.0
434869739478957.94,1.2792973998997996e-19,10.0
436873747494990.0,1.2925760975951906e-19,10.0
438877755511022.06,1.3058547952905812e-19,10.0
440881763527054.1,1.3191334929859722e-19,10.0
442885771543086.2,1.3324121906813627e-19,10.0
444889779559118.25,1.3456908883767538e-19,10.0
446893787575150.3,1.3589695860721443e-19,10.0
448897795591182.4,1.3722482837675349e-19,10.0
450901803607214.44,1.385526981462926e-19,10.0
452905811623246.5,1.3988056791583164e-19,10.0
454909819639278.56,1.4120843768537075e-19,10.0
456913827655310.6,1.425363074549098e-19,10.0
458917835671342.7,1.438641772244489e-19,10.0
460921843687374.75,1.4519204699398796e-19,10.0
462925851703406.8,1.4651991676352706e-19,10.0
464929859719438.9,1.4784778653306612e-19,10.0
466933867735470.94,1.4917565630260522e-19,10.0
468937875751503.0,1.5050352607214428e-19,10.0
470941883767535.06,1.5183139584168338e-19,10.0
472945891783567.1,1.5315926561122243e-19,10.0
474949899799599.2,1.544871353807615e-19,10.0
476953907815631.3,1.5581500515030064e-19,10.0
478957915831663.4,1.571428749198397e-19,10.0
480961923847695.44,1.584707446893788e-19,10.0
482965931863727.5,1.5979861445891785e-19,10.0
484969939879759.56,1.6112648422845696e-19,10.0
486973947895791.6,1.62454353997996e-19,10.0
488977955911823.7,1.6378222376753511e-19,10.0
490981963927855.75,1.6511009353707417e-19,10.0
492985971943887.8,1.6643796330661322e-19,10.0
494989979959919.9,1.6776583307615233e-19,10.0
496993987975951.94,1.6909370284569138e-19,10.0
498997995991984.0,1.7042157261523048e-19,10.0
501002004008016.06,1.7174944238476954e-19,10.0
503006012024048.1,1.7307731215430864e-19,10.0
505010020040080.2,1.744051819238477e-19,10.0
507014028056112.25,1.757330516933868e-19,10.0
509018036072144.3,1.7706092146292585e-19,10.0
511022044088176.4,1.7838879123246496e-19,10.0
513026052104208.44,1.7971666100200401e-19,10.0
515030060120240.5,1.8104453077154312e-19,10.0
517034068136272.56,1.8237240054108217e-19,10.0
519038076152304.6,1.8370027031062122e-19,10.0
521042084168336.7,1.8502814008016033e-19,10.0
523046092184368.75,1.8635600984969938e-19,10.0
525050100200400.8,1.8768387961923849e-19,10.0
527054108216432.9,1.8901174938877754e-19,10.0
529058116232464.94,1.9033961915831664e-19,10.0
531062124248497.0,1.916674889278557e-19,10.0
533066132264529.06,1.929953586973948e-19,10.0
535070140280561.1,1.9432322846693386e-19,10.0
537074148296593.2,1.9565109823647296e-19,10.0
539078156312625.25,1.9697896800601201e-19,10.0
541082164328657.3,1.9830683777555112e-19,10.0
543086172344689.4,1.9963470754509017e-19,10.0
545090180360721.44,2.0096257731462923e-19,10.0
547094188376753.5,2.0229044708416833e-19,10.0
549098196392785.56,2.0361831685370738e-19,10.0
551102204408817.7,2.0494618662324654e-19,10.0
553106212424849.75,2.062740563927856e-19,10.0
555110220440881.8,2.076019261623247e-19,10.0
557114228456913.9,2.0892979593186375e-19,10.0
559118236472945.94,2.1025766570140285e-19,10.0
561122244488978.0,2.115855354709419e-19,10.0
563126252505010.0,2.1291340524048096e-19,10.0
565130260521042.1,2.1424127501002006e-19,10.0
567134268537074.1,2.1556914477955912e-19,10.0
569138276553106.2,2.168970145490982e-19,10.0
571142284569138.2,2.1822488431863723e-19,10.0
573146292585170.4,2.195527540881764e-19,10.0
575150300601202.4,2.208806238577154e-19,10.0
577154308617234.5,2.2220849362725454e-19,10.0
579158316633266.5,2.2353636339679354e-19,10.0
581162324649298.6,2.248642331663327e-19,10.0
583166332665330.6,2.261921029358717e-19,10.0
585170340681362.8,2.2751997270541085e-19,10.0
587174348697394.9,2.2884784247494996e-19,10.0
589178356713426.9,2.3017571224448896e-19,10.0
591182364729459.0,2.315035820140281e-19,10.0
593186372745491.0,2.328314517835671e-19,10.0
595190380761523.1,2.3415932155310627e-19,10.0
597194388777555.1,2.354871913226453e-19,10.0
599198396793587.2,2.3681506109218443e-19,10.0
601202404809619.2,2.3814293086172344e-19,10.0
603206412825651.4,2.394708006312626e-19,10.0
605210420841683.4,2.407986704008016e-19,10.0
607214428857715.5,2.421265401703407e-19,10.0
609218436873747.5,2.4345440993987975e-19,10.0
611222444889779.6,2.4478227970941886e-19,10.0
613226452905811.6,2.461101494789579e-19,10.0
615230460921843.8,2.47438019248497e-19,10.0
617234468937875.8,2.4876588901803607e-19,10.0
619238476953907.9,2.5009375878757517e-19,10.0
621242484969939.9,2.5142162855711423e-19,10.0
623246492985972.0,2.5274949832665333e-19,10.0
625250501002004.0,2.540773680961924e-19,10.0
627254509018036.1,2.554052378657315e-19,10.0
629258517034068.1,2.5673310763527054e-19,10.0
631262525050100.2,2.5806097740480964e-19,10.0
633266533066132.2,2.593888471743487e-19,10.0
635270541082164.4,2.607167169438878e-19,10.0
637274549098196.4,2.6204458671342686e-19,10.0
639278557114228.5,2.6337245648296596e-19,10.0
641282565130260.5,2.6470032625250497e-19,10.0
643286573146292.6,2.660281960220441e-19,10.0
645290581162324.6,2.6735606579158312e-19,10.0
647294589178356.8,2.6868393556112228e-19,10.0
649298597194388.8,2.700118053306613e-19,10.0
651302605210420.9,2.7133967510020043e-19,10.0
653306613226452.9,2.7266754486973944e-19,10.0
655310621242485.0,2.7399541463927854e-19,10.0
657314629258517.0,2.753232844088176e-19,10.0
659318637274549.1,2.7665115417835675e-19,10.0
661322645290581.2,2.779790239478958e-19,10.0
663326653306613.2,2.7930689371743486e-19,10.0
665330661322645.4,2.80634763486974e-19,10.0
667334669338677.4,2.8196263325651306e-19,10.0
669338677354709.5,2.832905030260521e-19,10.0
671342685370741.5,2.8461837279559117e-19,10.0
673346693386773.6,2.8594624256513033e-19,10.0
675350701402805.6,2.872741123346694e-19,10.0
677354709418837.8,2.8860198210420844e-19,10.0
679358717434869.8,2.899298518737475e-19,10.0
681362725450901.9,2.9125772164328664e-19,10.0
683366733466933.9,2.925855914128256e-19,10.0
685370741482966.0,2.9391346118236475e-19,10.0
687374749498998.0,2.952413309519038e-19,10.0
689378757515030.1,2.9656920072144296e-19,10.0
691382765531062.1,2.978970704909819e-19,10.0
693386773547094.2,2.9922494026052107e-19,10.0
695390781563126.2,3.005528100300601e-19,10.0
697394789579158.4,3.0188067979959927e-19,10.0
699398797595190.4,3.0320854956913823e-19,10.0
701402805611222.5,3.045364193386774e-19,10.0
703406813627254.5,3.0586428910821644e-19,10.0
705410821643286.6,3.071921588777555e-19,10.0
707414829659318.6,3.0852002864729455e-19,10.0
709418837675350.8,3.098478984168337e-19,10.0
711422845691382.8,3.1117576818637275e-19,10.0
713426853707414.9,3.125036379559118e-19,10.0
715430861723446.9,3.1383150772545086e-19,10.0
717434869739479.0,3.1515937749499e-19,10.0
719438877755511.0,3.1648724726452907e-19,10.0
721442885771543.1,3.178151170340681e-19,10.0
723446893787575.1,3.191429868036072e-19,10.0
725450901803607.2,3.2047085657314633e-19,10.0
727454909819639.2,3.217987263426854e-19,10.0
729458917835671.4,3.2312659611222444e-19,10.0
731462925851703.4,3.244544658817635e-19,10.0
733466933867735.5,3.2578233565130264e-19,10.0
735470941883767.6,3.271102054208417e-19,10.0
737474949899799.6,3.2843807519038075e-19,10.0
739478957915831.8,3.297659449599199e-19,10.0
741482965931863.8,3.3109381472945896e-19,10.0
743486973947895.9,3.32421684498998e-19,10.0
745490981963927.9,3.3374955426853707e-19,10.0
747494989979960.0,3.350774240380762e-19,10.0
749498997995992.0,3.364052938076153e-19,10.0
751503006012024.1,3.3773316357715433e-19,10.0
753507014028056.1,3.390610333466934e-19,10.0
755511022044088.2,3.4038890311623254e-19,10.0
757515030060120.2,3.417167728857715e-19,10.0
759519038076152.4,3.4304464265531065e-19,10.0
761523046092184.4,3.443725124248497e-19,10.0
763527054108216.5,3.4570038219438885e-19,10.0
765531062124248.5,3.470282519639278e-19,10.0
767535070140280.6,3.4835612173346696e-19,10.0
769539078156312.6,3.49683991503006e-19,10.0
771543086172344.8,3.5101186127254507e-19,10.0
773547094188376.8,3.5233973104208413e-19,10.0
775551102204408.9,3.536676008116233e-19,10.0
777555110220440.9,3.5499547058116233e-19,10.0
779559118236473.0,3.563233403507014e-19,10.0
781563126252505.0,3.5765121012024044e-19,10.0
783567134268537.1,3.589790798897796e-19,10.0
785571142284569.1,3.6030694965931865e-19,10.0
787575150300601.2,3.616348194288577e-19,10.0
789579158316633.2,3.6296268919839676e-19,10.0
791583166332665.4,3.642905589679359e-19,10.0
793587174348697.4,3.6561842873747496e-19,10.0
795591182364729.5,3.66946298507014e-19,10.0
797595190380761.5,3.6827416827655307e-19,10.0
799599198396793.6,3.6960203804609222e-19,10.0
801603206412825.6,3.709299078156313e-19,10.0
803607214428857.8,3.7225777758517033e-19,10.0
805611222444889.8,3.735856473547094e-19,10.0
807615230460921.9,3.7491351712424854e-19,10.0
809619238476954.0,3.762413868937876e-19,10.0
811623246492986.0,3.7756925666332665e-19,10.0
813627254509018.1,3.788971264328658e-19,10.0
815631262525050.1,3.8022499620240486e-19,10.0
817635270541082.2,3.815528659719439e-19,10.0
819639278557114.2,3.8288073574148297e-19,10.0
821643286573146.4,3.842086055110221e-19,10.0
823647294589178.4,3.8553647528056108e-19,10.0
825651302605210.5,3.8686434505010023e-19,10.0
827655310621242.5,3.881922148196393e-19,10.0
829659318637274.6,3.8952008458917843e-19,10.0
831663326653306.6,3.908479543587174e-19,10.0
833667334669338.8,3.9217582412825654e-19,10.0
835671342685370.8,3.935036938977956e-19,10.0
837675350701402.9,3.9483156366733475e-19,10.0
839679358717434.9,3.961594334368737e-19,10.0
841683366733467.0,3.9748730320641286e-19,10.0
843687374749499.0,3.988151729759519e-19,10.0
845691382765531.1,4.0014304274549097e-19,10.0
847695390781563.1,4.0147091251503e-19,10.0
849699398797595.2,4.0279878228456917e-19,10.0
851703406813627.2,4.0412665205410823e-19,10.0
853707414829659.4,4.054545218236473e-19,10.0
855711422845691.4,4.0678239159318634e-19,10.0
857715430861723.5,4.081102613627255e-19,10.0
859719438877755.5,4.0943813113226454e-19,10.0
861723446893787.6,4.107660009018036e-19,10.0
863727454909819.6,4.1209387067134265e-19,10.0
865731462925851.8,4.134217404408818e-19,10.0
867735470941883.8,4.1474961021042086e-19,10.0
869739478957915.9,4.160774799799599e-19,10.0
871743486973947.9,4.1740534974949897e-19,10.0
873747494989980.0,4.187332195190381e-19,10.0
875751503006012.0,4.200610892885771e-19,10.0
877755511022044.1,4.2138895905811623e-19,10.0
879759519038076.2,4.227168288276554e-19,10.0
881763527054108.2,4.2404469859719444e-19,10.0
883767535070140.4,4.253725683667335e-19,10.0
885771543086172.4,4.2670043813627255e-19,10.0
887775551102204.5,4.280283079058117e-19,10.0
889779559118236.5,4.2935617767535075e-19,10.0
891783567134268.6,4.306840474448898e-19,10.0
893787575150300.6,4.3201191721442886e-19,10.0
895791583166332.8,4.33339786983968e-19,10.0
897795591182364.8,4.34667656753507e-19,10.0
899799599198396.9,4.359955265230461e-19,10.0
901803607214428.9,4.373233962925852e-19,10.0
903807615230461.0,4.386512660621243e-19,10.0
905811623246493.0,4.399791358316633e-19,10.0
907815631262525.1,4.413070056012024e-19,10.0
909819639278557.1,4.426348753707415e-19,10.0
911823647294589.2,4.439627451402805e-19,10.0
913827655310621.2,4.452906149098196e-19,10.0
915831663326653.4,4.466184846793588e-19,10.0
917835671342685.4,4.479463544488978e-19,10.0
919839679358717.5,4.492742242184369e-19,10.0
921843687374749.5,4.506020939879759e-19,10.0
923847695390781.6,4.519299637575151e-19,10.0
925851703406813.6,4.532578335270541e-19,10.0
927855711422845.8,4.545857032965932e-19,10.0
929859719438877.8,4.559135730661322e-19,10.0
931863727454909.9,4.572414428356714e-19,10.0
933867735470941.9,4.585693126052104e-19,10.0
935871743486974.0,4.598971823747495e-19,10.0
937875751503006.0,4.6122505214428855e-19,10.0
939879759519038.1,4.625529219138277e-19,10.0
941883767535070.1,4.638807916833668e-19,10.0
943887775551102.2,4.652086614529058e-19,10.0
945891783567134.2,4.665365312224449e-19,10.0
947895791583166.4,4.67864400991984e-19,10.0
949899799599198.4,4.69192270761523e-19,10.0
951903807615230.5,4.705201405310621e-19,10.0
953907815631262.6,4.718480103006013e-19,10.0
955911823647294.6,4.731758800701403e-19,10.0
957915831663326.8,4.745037498396794e-19,10.0
959919839679358.8,4.758316196092184e-19,10.0
961923847695390.9,4.771594893787576e-19,10.0
963927855711422.9,4.7848735914829655e-19,10.0
965931863727455.0,4.798152289178357e-19,10.0
967935871743487.0,4.811430986873748e-19,10.0
969939879759519.1,4.824709684569139e-19,10.0
971943887775551.1,4.837988382264529e-19,10.0
973947895791583.2,4.85126707995992e-19,10.0
975951903807615.2,4.864545777655311e-19,10.0
977955911823647.4,4.877824475350702e-19,10.0
979959919839679.4,4.891103173046092e-19,10.0
981963927855711.5,4.904381870741483e-19,10.0
983967935871743.5,4.917660568436874e-19,10.0
985971943887775.6,4.930939266132264e-19,10.0
987975951903807.6,4.944217963827655e-19,10.0
989979959919839.8,4.9574966615230465e-19,10.0
991983967935871.8,4.970775359218437e-19,10.0
993987975951903.9,4.984054056913828e-19,10.0
995991983967935.9,4.997332754609218e-19,10.0
997995991983968.0,5.01061145230461e-19,10.0
1000000000000000.0,5.02389015e-19,10.0
